Date	Time	Severity	PID	TID	Function	Message
20-06-2025	08:38:03.653	 INFO	 34164	 22280	DllMain	"DLL_PROCESS_ATTACH Fri Apr  4 13:27:46 2025 11.4.2500.24"
20-06-2025	08:38:03.657	 INFO	 34164	 22280	DllMain	"PROCESS ATTACHED"
20-06-2025	08:38:03.657	 INFO	 34164	 17480	LateInitialization	"Intialization..."
20-06-2025	08:38:03.658	 INFO	 34164	 17480	LoadDisplayDevicesName	"DisplayDevices : "
20-06-2025	08:38:03.659	 INFO	 34164	 17480	LoadDisplayDevicesName	"\\.\DISPLAY1"
20-06-2025	08:38:03.660	 INFO	 34164	 17480	LoadDisplayDevicesName	"\\.\DISPLAY2"
20-06-2025	08:38:03.660	 INFO	 34164	 17480	LoadDisplayDevicesName	"\\.\DISPLAY3"
20-06-2025	08:38:03.661	 INFO	 34164	 17480	LoadDisplayDevicesName	"\\.\DISPLAY4"
20-06-2025	08:39:00.900	 INFO	 35972	 31148	DllMain	"DLL_PROCESS_ATTACH Fri Apr  4 13:27:46 2025 11.4.2500.24"
20-06-2025	08:39:00.909	 INFO	 35972	 31148	DllMain	"PROCESS ATTACHED"
20-06-2025	08:39:00.910	 INFO	 35972	 31580	LateInitialization	"Intialization..."
20-06-2025	08:39:00.917	 INFO	 35972	 31580	LoadDisplayDevicesName	"DisplayDevices : "
20-06-2025	08:39:00.923	 INFO	 35972	 31580	LoadDisplayDevicesName	"\\.\DISPLAY1"
20-06-2025	08:39:00.928	 INFO	 35972	 31580	LoadDisplayDevicesName	"\\.\DISPLAY2"
20-06-2025	08:39:00.929	 INFO	 35972	 31580	LoadDisplayDevicesName	"\\.\DISPLAY3"
20-06-2025	08:39:00.930	 INFO	 35972	 31580	LoadDisplayDevicesName	"\\.\DISPLAY4"
20-06-2025	08:39:03.945	ERROR	 35972	 31580	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
